Word,lemme,cgram,genre,freqlemlivres
collectifs,collectif,ADJ,m,15.68
occidental,occidental,ADJ,m,15.61
occidentaux,occidental,ADJ,m,15.61
vitré,vitré,ADJ,m,15.61
vitrés,vitré,ADJ,m,15.61
excessif,excessif,ADJ,m,15.54
excessifs,excessif,ADJ,m,15.54
satisfait,satisfait,ADJ,m,15.54
satisfaits,satisfait,ADJ,m,15.54
cuit,cuit,ADJ,m,15.41
cuits,cuit,ADJ,m,15.41
vertical,vertical,ADJ,m,15.41
verticaux,vertical,ADJ,m,15.41
interdit,interdit,ADJ,m,15.34
interdits,interdit,ADJ,m,15.34
rêveur,rêveur,ADJ,m,15.34
rêveurs,rêveur,ADJ,m,15.34
caché,caché,ADJ,m,15.27
cachés,caché,ADJ,m,15.27
couché,couché,ADJ,m,15.2
couchés,couché,ADJ,m,15.2
gluant,gluant,ADJ,m,15.2
gluants,gluant,ADJ,m,15.2
inouï,inouï,ADJ,m,15.2
inouïs,inouï,ADJ,m,15.2
intellectuel,intellectuel,ADJ,m,15.2
intellectuels,intellectuel,ADJ,m,15.2
traditionnel,traditionnel,ADJ,m,15.2
traditionnels,traditionnel,ADJ,m,15.2
universel,universel,ADJ,m,15.14
universels,universel,ADJ,m,15.14
joint,joint,ADJ,m,15.0
joints,joint,ADJ,m,15.0
couvert,couvert,ADJ,m,14.93
couverts,couvert,ADJ,m,14.93
patient,patient,ADJ,m,14.93
patients,patient,ADJ,m,14.93
disparu,disparu,ADJ,m,14.8
disparus,disparu,ADJ,m,14.8
isolé,isolé,ADJ,m,14.8
isolés,isolé,ADJ,m,14.8
passionné,passionné,ADJ,m,14.8
passionnés,passionné,ADJ,m,14.8
permanent,permanent,ADJ,m,14.8
permanents,permanent,ADJ,m,14.8
tordu,tordu,ADJ,m,14.8
tordus,tordu,ADJ,m,14.8
polonais,polonais,ADJ,m,14.73
rendu,rendu,ADJ,m,14.73
rendus,rendu,ADJ,m,14.73
stupéfait,stupéfait,ADJ,m,14.73
stupéfaits,stupéfait,ADJ,m,14.73
japonais,japonais,ADJ,m,14.66
affectueux,affectueux,ADJ,m,14.59
allumé,allumé,ADJ,m,14.59
allumés,allumé,ADJ,m,14.59
conscient,conscient,ADJ,m,14.59
conscients,conscient,ADJ,m,14.59
furtif,furtif,ADJ,m,14.59
furtifs,furtif,ADJ,m,14.59
municipal,municipal,ADJ,m,14.53
municipaux,municipal,ADJ,m,14.53
spirituel,spirituel,ADJ,m,14.53
spirituels,spirituel,ADJ,m,14.53
tombé,tombé,ADJ,m,14.53
tombés,tombé,ADJ,m,14.53
opposé,opposé,ADJ,m,14.46
opposés,opposé,ADJ,m,14.46
strict,strict,ADJ,m,14.39
stricts,strict,ADJ,m,14.39
odieux,odieux,ADJ,m,14.32
oriental,oriental,ADJ,m,14.32
orientaux,oriental,ADJ,m,14.32
animal,animal,ADJ,m,14.19
assuré,assuré,ADJ,m,14.19
assurés,assuré,ADJ,m,14.19
relatif,relatif,ADJ,m,14.05
relatifs,relatif,ADJ,m,14.05
émouvant,émouvant,ADJ,m,14.05
émouvants,émouvant,ADJ,m,14.05
favori,favori,ADJ,m,13.99
favoris,favori,ADJ,m,13.99
glacial,glacial,ADJ,m,13.92
