Rang,Word,lemme,cgram,genre,nombre,freqlemlivres
917,autorité,autorité,NOM,f,s,77.03
918,autorités,autorité,NOM,f,p,77.03
919,expression,expression,NOM,f,s,76.89
920,expressions,expression,NOM,f,p,76.89
923,soirée,soirée,NOM,f,s,76.69
924,soirées,soirée,NOM,f,p,76.69
926,foi,foi,NOM,f,s,76.49
929,port,port,NOM,m,s,76.42
930,ports,port,NOM,m,p,76.42
931,absence,absence,NOM,f,s,76.28
932,absences,absence,NOM,f,p,76.28
937,poing,poing,NOM,m,s,76.08
938,poings,poing,NOM,m,p,76.08
939,poil,poil,NOM,m,s,76.01
940,poils,poil,NOM,m,p,76.01
941,faim,faim,NOM,f,s,75.95
943,importance,importance,NOM,f,s,75.81
945,médecin,médecin,NOM,m,s,75.61
946,médecins,médecin,NOM,m,p,75.61
955,volonté,volonté,NOM,f,s,74.93
956,volontés,volonté,NOM,f,p,74.93
959,terrain,terrain,NOM,m,s,74.73
960,terrains,terrain,NOM,m,p,74.73
961,château,château,NOM,m,s,74.12
962,châteaux,château,NOM,m,p,74.12
963,drap,drap,NOM,m,s,74.12
964,draps,drap,NOM,m,p,74.12
965,film,film,NOM,m,s,74.12
966,films,film,NOM,m,p,74.12
969,quai,quai,NOM,m,s,73.99
970,quais,quai,NOM,m,p,73.99
975,appel,appel,NOM,m,s,73.45
976,appels,appel,NOM,m,p,73.45
981,flic,flic,NOM,m,s,72.43
982,flics,flic,NOM,m,p,72.43
983,prison,prison,NOM,f,s,72.43
987,loi,loi,NOM,f,s,72.3
988,lois,loi,NOM,f,p,72.3
989,mec,mec,NOM,m,s,72.3
990,mecs,mec,NOM,m,p,72.3
998,pantalon,pantalon,NOM,m,s,71.76
999,pantalons,pantalon,NOM,m,p,71.76
1009,courage,courage,NOM,m,s,70.34
1016,biens,bien,NOM,m,p,70.2
1017,opération,opération,NOM,f,s,70.2
1018,opérations,opération,NOM,f,p,70.2
1019,numéro,numéro,NOM,m,s,70.07
1020,numéros,numéro,NOM,m,p,70.07
1021,douceur,douceur,NOM,f,s,70.0
1022,douceurs,douceur,NOM,f,p,70.0
1023,projet,projet,NOM,m,s,70.0
1024,projets,projet,NOM,m,p,70.0
1025,cuisse,cuisse,NOM,f,s,69.73
1026,cuisses,cuisse,NOM,f,p,69.73
1027,solitude,solitude,NOM,f,s,69.73
1033,horreur,horreur,NOM,f,s,69.46
1034,horreurs,horreur,NOM,f,p,69.46
1035,caisse,caisse,NOM,f,s,69.39
1036,caisses,caisse,NOM,f,p,69.39
1045,intention,intention,NOM,f,s,68.65
1048,dîners,dîner,NOM,m,p,68.58
1049,midi,midi,NOM,m,,68.38
1055,soin,soin,NOM,m,s,68.24
1056,soins,soin,NOM,m,p,68.24
1057,théâtre,théâtre,NOM,m,s,68.18
1058,théâtres,théâtre,NOM,m,p,68.18
1059,manteau,manteau,NOM,m,s,68.11
1060,manteaux,manteau,NOM,m,p,68.11
