"Word","lemme","cgram","freqlemlivres"
"instamment","instamment","ADV","1.35"
"magiquement","magiquement","ADV","1.35"
"orgueilleusement","orgueilleusement","ADV","1.35"
"outrageusement","outrageusement","ADV","1.35"
"placidement","placidement","ADV","1.35"
"sic","sic","ADV","1.35"
"tardivement","tardivement","ADV","1.35"
"unanimement","unanimement","ADV","1.35"
"à cloche-pied","à_cloche-pied","ADV","1.35"
"équitablement","équitablement","ADV","1.35"
"ci-dessus","ci-dessus","ADV","1.28"
"connement","connement","ADV","1.28"
"d'ores et déjà","d'ores et déjà","ADV","1.28"
"de traviole","de traviole","ADV","1.28"
"divinement","divinement","ADV","1.28"
"désagréablement","désagréablement","ADV","1.28"
"harmonieusement","harmonieusement","ADV","1.28"
"imprudemment","imprudemment","ADV","1.28"
"incidemment","incidemment","ADV","1.28"
"isolément","isolément","ADV","1.28"
"rondement","rondement","ADV","1.28"
"sinistrement","sinistrement","ADV","1.28"
"sobrement","sobrement","ADV","1.28"
"banalement","banalement","ADV","1.22"
"dru","dru","ADV","1.22"
"galamment","galamment","ADV","1.22"
"idéalement","idéalement","ADV","1.22"
"in petto","in petto","ADV","1.22"
"invinciblement","invinciblement","ADV","1.22"
"légitimement","légitimement","ADV","1.22"
"majestueusement","majestueusement","ADV","1.22"
"ok","ok","ADV","1.22"
"presto","presto","ADV","1.22"
"sentencieusement","sentencieusement","ADV","1.22"
"solitairement","solitairement","ADV","1.22"
"spécifiquement","spécifiquement","ADV","1.22"
"vulgairement","vulgairement","ADV","1.22"
"à brûle-pourpoint","à_brûle-pourpoint","ADV","1.22"
"abusivement","abusivement","ADV","1.15"
"anormalement","anormalement","ADV","1.15"
"concrètement","concrètement","ADV","1.15"
"craintivement","craintivement","ADV","1.15"
"crânement","crânement","ADV","1.15"
"dédaigneusement","dédaigneusement","ADV","1.15"
"fondamentalement","fondamentalement","ADV","1.15"
"implicitement","implicitement","ADV","1.15"
"jusques","jusques","ADV","1.15"
"militairement","militairement","ADV","1.15"
