"Word","lemme","cgram","freqlemlivres"
"doré","doré","ADJ","50.47"
"dorée","doré","ADJ","50.47"
"dorées","doré","ADJ","50.47"
"dorés","doré","ADJ","50.47"
"toutes","toutes","ADJ:ind","50.47"
"personnel","personnel","ADJ","50"
"personnelle","personnel","ADJ","50"
"personnelles","personnel","ADJ","50"
"personnels","personnel","ADJ","50"
"social","social","ADJ","49.8"
"sociale","social","ADJ","49.8"
"sociales","social","ADJ","49.8"
"sociaux","social","ADJ","49.8"
"voisin","voisin","ADJ","49.73"
"voisine","voisin","ADJ","49.73"
"voisines","voisin","ADJ","49.73"
"voisins","voisin","ADJ","49.73"
"gras","gras","ADJ","48.92"
"grasse","gras","ADJ","48.92"
"grasses","gras","ADJ","48.92"
"russe","russe","ADJ","48.51"
"russes","russe","ADJ","48.51"
"douze","douze","ADJ:num","48.18"
"familier","familier","ADJ","47.91"
"familiers","familier","ADJ","47.91"
"familière","familier","ADJ","47.91"
"familières","familier","ADJ","47.91"
"puissant","puissant","ADJ","47.7"
"puissante","puissant","ADJ","47.7"
"puissantes","puissant","ADJ","47.7"
"puissants","puissant","ADJ","47.7"
"dangereuse","dangereux","ADJ","47.57"
"dangereuses","dangereux","ADJ","47.57"
"dangereux","dangereux","ADJ","47.57"
"supérieur","supérieur","ADJ","46.69"
"supérieure","supérieur","ADJ","46.69"
"supérieures","supérieur","ADJ","46.69"
"supérieurs","supérieur","ADJ","46.69"
"inquiet","inquiet","ADJ","46.55"
"inquiets","inquiet","ADJ","46.55"
"inquiète","inquiet","ADJ","46.55"
"inquiètes","inquiet","ADJ","46.55"
"incapable","incapable","ADJ","46.22"
"incapables","incapable","ADJ","46.22"
"éternel","éternel","ADJ","45.88"
"éternelle","éternel","ADJ","45.88"
"éternelles","éternel","ADJ","45.88"
"éternels","éternel","ADJ","45.88"
"muet","muet","ADJ","45.74"
"muets","muet","ADJ","45.74"
"muette","muet","ADJ","45.74"
"muettes","muet","ADJ","45.74"
"joyeuse","joyeux","ADJ","45.61"
"joyeuses","joyeux","ADJ","45.61"
"joyeux","joyeux","ADJ","45.61"
"extrême","extrême","ADJ","45.54"
"extrêmes","extrême","ADJ","45.54"
"ridicule","ridicule","ADJ","45.54"
"ridicules","ridicule","ADJ","45.54"
"fragile","fragile","ADJ","45.34"
"fragiles","fragile","ADJ","45.34"
"sacré","sacré","ADJ","45.2"
"sacrée","sacré","ADJ","45.2"
"sacrées","sacré","ADJ","45.2"
"sacrés","sacré","ADJ","45.2"
"ferme","ferme","ADJ","45.14"
"fermes","ferme","ADJ","45.14"
"tiède","tiède","ADJ","44.73"
"tièdes","tiède","ADJ","44.73"
"furieuse","furieux","ADJ","44.59"
"furieuses","furieux","ADJ","44.59"
"furieux","furieux","ADJ","44.59"
"venu","venu","ADJ","44.39"
"venue","venu","ADJ","44.39"
"venues","venu","ADJ","44.39"
"venus","venu","ADJ","44.39"
"complet","complet","ADJ","44.12"
"complets","complet","ADJ","44.12"
"complète","complet","ADJ","44.12"
"complètes","complet","ADJ","44.12"
"quarante","quarante","ADJ:num","43.78"
"demi","demi","ADJ","43.51"
"demie","demi","ADJ","43.51"
"demies","demi","ADJ","43.51"
"demis","demi","ADJ","43.51"
"parfait","parfait","ADJ","43.45"
"parfaite","parfait","ADJ","43.45"
"parfaites","parfait","ADJ","43.45"
"parfaits","parfait","ADJ","43.45"
"extraordinaire","extraordinaire","ADJ","42.84"
"extraordinaires","extraordinaire","ADJ","42.84"
"saint","saint","ADJ","42.77"
"sainte","saint","ADJ","42.77"
"saintes","saint","ADJ","42.77"
"saints","saint","ADJ","42.77"
"solide","solide","ADJ","42.77"
"solides","solide","ADJ","42.77"
"une","une","ADJ:num","42.64"
"bête","bête","ADJ","41.89"
"bêtes","bête","ADJ","41.89"
"gai","gai","ADJ","41.76"
"gaie","gai","ADJ","41.76"
"gaies","gai","ADJ","41.76"
"gais","gai","ADJ","41.76"
"moyen","moyen","ADJ","41.69"
"moyenne","moyen","ADJ","41.69"
"moyennes","moyen","ADJ","41.69"
"moyens","moyen","ADJ","41.69"
"total","total","ADJ","41.62"
"totale","total","ADJ","41.62"
"totales","total","ADJ","41.62"
"totaux","total","ADJ","41.62"
"régulier","régulier","ADJ","41.35"
"réguliers","régulier","ADJ","41.35"
"régulière","régulier","ADJ","41.35"
"régulières","régulier","ADJ","41.35"
"serré","serré","ADJ","41.28"
"serrée","serré","ADJ","41.28"
"serrées","serré","ADJ","41.28"
"serrés","serré","ADJ","41.28"
"charmant","charmant","ADJ","41.15"
"charmante","charmant","ADJ","41.15"
"charmantes","charmant","ADJ","41.15"
"charmants","charmant","ADJ","41.15"
"réel","réel","ADJ","40.95"
"réelle","réel","ADJ","40.95"
"réelles","réel","ADJ","40.95"
"réels","réel","ADJ","40.95"
"rousse","roux","ADJ","40.41"
"rousses","roux","ADJ","40.41"
"roux","roux","ADJ","40.41"
"merveilleuse","merveilleux","ADJ","40.34"
"merveilleuses","merveilleux","ADJ","40.34"
"merveilleux","merveilleux","ADJ","40.34"
"glacé","glacé","ADJ","40.27"
"glacée","glacé","ADJ","40.27"
"glacées","glacé","ADJ","40.27"
"glacés","glacé","ADJ","40.27"
"net","net","ADJ","40.2"
"nets","net","ADJ","40.2"
"nette","net","ADJ","40.2"
"nettes","net","ADJ","40.2"
"habituel","habituel","ADJ","39.93"
"habituelle","habituel","ADJ","39.93"
"habituelles","habituel","ADJ","39.93"
"habituels","habituel","ADJ","39.93"
"fixe","fixe","ADJ","39.53"
"fixes","fixe","ADJ","39.53"
"affreuse","affreux","ADJ","39.46"
"affreuses","affreux","ADJ","39.46"
