,Word,lemme,cgram,genre,freqlemlivres
654,ouvrier,ouvrier,ADJ,m,15.88
655,ouvriers,ouvrier,ADJ,m,15.88
657,collectif,collectif,ADJ,m,15.68
658,collectifs,collectif,ADJ,m,15.68
659,occidental,occidental,ADJ,m,15.61
660,occidentaux,occidental,ADJ,m,15.61
663,excessif,excessif,ADJ,m,15.54
664,excessifs,excessif,ADJ,m,15.54
665,satisfait,satisfait,ADJ,m,15.54
666,satisfaits,satisfait,ADJ,m,15.54
667,cuit,cuit,ADJ,m,15.41
668,cuits,cuit,ADJ,m,15.41
669,vertical,vertical,ADJ,m,15.41
670,verticaux,vertical,ADJ,m,15.41
671,interdit,interdit,ADJ,m,15.34
672,interdits,interdit,ADJ,m,15.34
673,rêveur,rêveur,ADJ,m,15.34
675,caché,caché,ADJ,m,15.27
676,cachés,caché,ADJ,m,15.27
677,couché,couché,ADJ,m,15.2
678,couchés,couché,ADJ,m,15.2
685,traditionnel,traditionnel,ADJ,m,15.2
686,traditionnels,traditionnel,ADJ,m,15.2
687,universel,universel,ADJ,m,15.14
688,universels,universel,ADJ,m,15.14
689,joint,joint,ADJ,m,15.0
690,joints,joint,ADJ,m,15.0
691,couvert,couvert,ADJ,m,14.93
692,couverts,couvert,ADJ,m,14.93
693,patient,patient,ADJ,m,14.93
694,patients,patient,ADJ,m,14.93
695,disparu,disparu,ADJ,m,14.8
696,disparus,disparu,ADJ,m,14.8
697,isolé,isolé,ADJ,m,14.8
698,isolés,isolé,ADJ,m,14.8
699,passionné,passionné,ADJ,m,14.8
700,passionnés,passionné,ADJ,m,14.8
701,permanent,permanent,ADJ,m,14.8
702,permanents,permanent,ADJ,m,14.8
703,tordu,tordu,ADJ,m,14.8
706,rendu,rendu,ADJ,m,14.73
707,rendus,rendu,ADJ,m,14.73
712,allumé,allumé,ADJ,m,14.59
714,conscient,conscient,ADJ,m,14.59
715,conscients,conscient,ADJ,m,14.59
718,municipal,municipal,ADJ,m,14.53
719,municipaux,municipal,ADJ,m,14.53
720,spirituel,spirituel,ADJ,m,14.53
721,spirituels,spirituel,ADJ,m,14.53
722,tombé,tombé,ADJ,m,14.53
723,tombés,tombé,ADJ,m,14.53
724,opposé,opposé,ADJ,m,14.46
725,opposés,opposé,ADJ,m,14.46
726,strict,strict,ADJ,m,14.39
729,oriental,oriental,ADJ,m,14.32
730,orientaux,oriental,ADJ,m,14.32
731,animal,animal,ADJ,m,14.19
732,assuré,assuré,ADJ,m,14.19
733,assurés,assuré,ADJ,m,14.19
734,relatif,relatif,ADJ,m,14.05
735,relatifs,relatif,ADJ,m,14.05
736,émouvant,émouvant,ADJ,m,14.05
738,favori,favori,ADJ,m,13.99
739,favoris,favori,ADJ,m,13.99
740,glacial,glacial,ADJ,m,13.92
745,natal,natal,ADJ,m,13.92
747,paternel,paternel,ADJ,m,13.92
749,épuisé,épuisé,ADJ,m,13.92
750,épuisés,épuisé,ADJ,m,13.92
751,distrait,distrait,ADJ,m,13.78
753,uni,uni,ADJ,m,13.78
754,unis,uni,ADJ,m,13.78
755,actif,actif,ADJ,m,13.65
756,actifs,actif,ADJ,m,13.65
757,donné,donné,ADJ,m,13.65
758,donnés,donné,ADJ,m,13.65
759,mignon,mignon,ADJ,m,13.58
760,mignons,mignon,ADJ,m,13.58
761,capital,capital,ADJ,m,13.51
762,capitaux,capital,ADJ,m,13.51
763,forcé,forcé,ADJ,m,13.51
764,forcés,forcé,ADJ,m,13.51
767,posé,posé,ADJ,m,13.45
768,posés,posé,ADJ,m,13.45
769,déchiré,déchiré,ADJ,m,13.38
771,infernal,infernal,ADJ,m,13.38
774,flottant,flottant,ADJ,m,13.31
790,éventuel,éventuel,ADJ,m,13.18
791,éventuels,éventuel,ADJ,m,13.18
792,gratuit,gratuit,ADJ,m,13.11
793,gratuits,gratuit,ADJ,m,13.11
794,roman,roman,ADJ,m,13.11
795,romans,roman,ADJ,m,13.11
796,souterrain,souterrain,ADJ,m,13.04
797,souterrains,souterrain,ADJ,m,13.04
799,rituel,rituel,ADJ,m,12.97
800,rituels,rituel,ADJ,m,12.97
801,battant,battant,ADJ,m,12.84
803,aimé,aimé,ADJ,m,12.77
804,aimés,aimé,ADJ,m,12.77
805,marin,marin,ADJ,m,12.77
806,marins,marin,ADJ,m,12.77
809,colonial,colonial,ADJ,m,12.7
810,coloniaux,colonial,ADJ,m,12.7
811,tiré,tiré,ADJ,m,12.7
812,tirés,tiré,ADJ,m,12.7
813,gonflé,gonflé,ADJ,m,12.64
815,latin,latin,ADJ,m,12.64
816,latins,latin,ADJ,m,12.64
817,allongé,allongé,ADJ,m,12.57
819,détaché,détaché,ADJ,m,12.5
820,détachés,détaché,ADJ,m,12.5
822,pendant,pendant,ADJ,m,12.5
824,conséquent,conséquent,ADJ,m,12.43
825,conséquents,conséquent,ADJ,m,12.43
826,désolé,désolé,ADJ,m,12.43
832,marrant,marrant,ADJ,m,12.36
834,mat,mat,ADJ,m,12.36
836,mats,mat,ADJ,m,12.36
839,incessant,incessant,ADJ,m,12.23
841,artificiel,artificiel,ADJ,m,12.16
842,artificiels,artificiel,ADJ,m,12.16
843,éloigné,éloigné,ADJ,m,12.16
844,éloignés,éloigné,ADJ,m,12.16
845,africain,africain,ADJ,m,12.09
846,africains,africain,ADJ,m,12.09
847,fréquent,fréquent,ADJ,m,12.09
848,fréquents,fréquent,ADJ,m,12.09
849,hésitant,hésitant,ADJ,m,12.09
853,ému,ému,ADJ,m,12.09
857,monumental,monumental,ADJ,m,12.03
860,errant,errant,ADJ,m,11.96
862,médical,médical,ADJ,m,11.89
863,médicaux,médical,ADJ,m,11.89
864,suspendu,suspendu,ADJ,m,11.89
865,suspendus,suspendu,ADJ,m,11.89
866,égaré,égaré,ADJ,m,11.89
868,battu,battu,ADJ,m,11.82
869,battus,battu,ADJ,m,11.82
870,dressé,dressé,ADJ,m,11.82
871,dressés,dressé,ADJ,m,11.82
872,figé,figé,ADJ,m,11.82
874,insensé,insensé,ADJ,m,11.82
878,parti,parti,ADJ,m,11.62
879,partis,parti,ADJ,m,11.62
