"Word","lemme","cgram","genre","nombre","freqlemlivres"
"grands","grand","NOM","m","p","127.64"
"exemple","exemple","NOM","m","s","126.62"
"exemples","exemple","NOM","m","p","126.62"
"langue","langue","NOM","f","s","126.28"
"langues","langue","NOM","f","p","126.28"
"contraire","contraire","NOM","m","s","126.01"
"contraires","contraire","NOM","m","p","126.01"
"dent","dent","NOM","f","s","125.68"
"dents","dent","NOM","f","p","125.68"
"été","été","NOM","m","s","125.47"
"étés","été","NOM","m","p","125.47"
"haut","haut","NOM","m","s","125.07"
"hauts","haut","NOM","m","p","125.07"
"attention","attention","NOM","f","s","124.53"
"attentions","attention","NOM","f","p","124.53"
"objet","objet","NOM","m","s","124.32"
"objets","objet","NOM","m","p","124.32"
"mari","mari","NOM","m","s","124.26"
"maris","mari","NOM","m","p","124.26"
"hasard","hasard","NOM","m","s","124.19"
"hasards","hasard","NOM","m","p","124.19"
"départ","départ","NOM","m","s","123.04"
"départs","départ","NOM","m","p","123.04"
"pluie","pluie","NOM","f","s","122.57"
"pluies","pluie","NOM","f","p","122.57"
"être","être","NOM","m","s","122.57"
"êtres","être","NOM","m","p","122.57"
"groupe","groupe","NOM","m","s","122.5"
"groupes","groupe","NOM","m","p","122.5"
"joue","joue","NOM","f","s","121.76"
"joues","joue","NOM","f","p","121.76"
"seconde","seconde","NOM","f","s","121.49"
"secondes","seconde","NOM","f","p","121.49"
"bas","bas","NOM","m","p","119.86"
"entrée","entrée","NOM","f","s","118.78"
"entrées","entrée","NOM","f","p","118.78"
"herbe","herbe","NOM","f","s","118.51"
"herbes","herbe","NOM","f","p","118.51"
"tante","tante","NOM","f","s","118.38"
"tantes","tante","NOM","f","p","118.38"
"chaise","chaise","NOM","f","s","118.31"
"chaises","chaise","NOM","f","p","118.31"
"droite","droite","NOM","f","s","117.97"
"droites","droite","NOM","f","p","117.97"
"bête","bête","NOM","f","s","117.36"
"bêtes","bête","NOM","f","p","117.36"
"désir","désir","NOM","m","s","117.09"
"désirs","désir","NOM","m","p","117.09"
"noir","noir","NOM","m","s","116.89"
"noire","noir","NOM","f","s","116.89"
"noires","noir","NOM","f","p","116.89"
"noirs","noir","NOM","m","p","116.89"
"chaleur","chaleur","NOM","f","s","116.22"
"chaleurs","chaleur","NOM","f","p","116.22"
"page","page","NOM","","s","115.54"
"pages","page","NOM","","p","115.54"
"conversation","conversation","NOM","f","s","115.34"
"conversations","conversation","NOM","f","p","115.34"
"cou","cou","NOM","m","s","115.34"
"cous","cou","NOM","m","p","115.34"
"cigarette","cigarette","NOM","f","s","114.93"
"cigarettes","cigarette","NOM","f","p","114.93"
"scène","scène","NOM","f","s","114.93"
"scènes","scène","NOM","f","p","114.93"
"sommeil","sommeil","NOM","m","s","114.8"
"sommeils","sommeil","NOM","m","p","114.8"
"musique","musique","NOM","f","s","114.32"
"musiques","musique","NOM","f","p","114.32"
"fer","fer","NOM","m","s","114.19"
"fers","fer","NOM","m","p","114.19"
"fère","fer","NOM","f","s","114.19"
"avenir","avenir","NOM","m","s","113.72"
"avenirs","avenir","NOM","m","p","113.72"
"passé","passé","NOM","m","s","113.51"
"passés","passé","NOM","m","p","113.51"
"forêt","forêt","NOM","f","s","113.31"
"forêts","forêt","NOM","f","p","113.31"
"oiseau","oiseau","NOM","m","s","113.04"
"oiseaux","oiseau","NOM","m","p","113.04"
"côte","côte","NOM","f","s","112.5"
"côtes","côte","NOM","f","p","112.5"
"foule","foule","NOM","f","s","112.3"
"foules","foule","NOM","f","p","112.3"
"quartier","quartier","NOM","m","s","112.16"
"quartiers","quartier","NOM","m","p","112.16"
"garde","garde","NOM","","s","112.09"
"gardes","garde","NOM","","p","112.09"
"ennemi","ennemi","NOM","m","s","111.96"
"ennemie","ennemi","NOM","f","s","111.96"
"ennemies","ennemi","NOM","f","p","111.96"
"ennemis","ennemi","NOM","m","p","111.96"
"arme","arme","NOM","f","s","111.49"
"armes","arme","NOM","f","p","111.49"
"carte","carte","NOM","f","s","111.42"
"cartes","carte","NOM","f","p","111.42"
"mémoire","mémoire","NOM","","s","110.88"
"mémoires","mémoire","NOM","","p","110.88"
"vin","vin","NOM","m","s","110.47"
"vins","vin","NOM","m","p","110.47"
"gueule","gueule","NOM","f","s","109.93"
"gueules","gueule","NOM","","p","109.93"
"classe","classe","NOM","f","s","108.92"
"classes","classe","NOM","f","p","108.92"
"trou","trou","NOM","m","s","108.38"
"trous","trou","NOM","m","p","108.38"
"île","île","NOM","f","s","108.24"
"îles","île","NOM","f","p","108.24"
"direction","direction","NOM","f","s","108.04"
"directions","direction","NOM","f","p","108.04"
"pouvoir","pouvoir","NOM","m","s","107.91"
"pouvoirs","pouvoir","NOM","m","p","107.91"
"prix","prix","NOM","m","","107.5"
"peuple","peuple","NOM","m","s","107.3"
"peuples","peuple","NOM","m","p","107.3"
"campagne","campagne","NOM","f","s","107.23"
"campagnes","campagne","NOM","f","p","107.23"
"moyen","moyen","NOM","m","s","107.03"
"moyens","moyen","NOM","m","p","107.03"
"toile","toile","NOM","f","s","106.62"
"toiles","toile","NOM","f","p","106.62"
"champ","champ","NOM","m","s","106.49"
"champ'","champ","NOM","m","s","106.49"
"champs","champ","NOM","m","p","106.49"
