Word,lemme,cgram,freq
crever,crever,VER,25.27
buvez,boire,VER,25.24
reconnaître,reconnaître,VER,25.24
traiter,traiter,VER,25.23
préparé,préparer,VER,25.19
exploser,exploser,VER,25.11
attendait,attendre,VER,25.02
rentrée,rentrer,VER,25
gardé,garder,VER,24.98
créé,créer,VER,24.93
contrôler,contrôler,VER,24.91
iras,aller,VER,24.9
rentres,rentrer,VER,24.9
accompagner,accompagner,VER,24.87
tourné,tourner,VER,24.84
ignorais,ignorer,VER,24.82
remets,remettre,VER,24.72
rater,rater,VER,24.71
jouez,jouer,VER,24.66
surpris,surprendre,VER,24.64
donnera,donner,VER,24.6
travaillait,travailler,VER,24.57
pourrions,pouvoir,VER,24.56
avoue,avouer,VER,24.48
atteindre,atteindre,VER,24.42
sauve,sauver,VER,24.34
taisez,taire,VER,24.3
attrape,attraper,VER,24.29
plaisantes,plaisanter,VER,24.29
prévenu,prévenir,VER,24.25
signé,signer,VER,24.19
battu,battre,VER,24.13
ment,mentir,VER,24.08
traite,traiter,VER,24.08
abandonne,abandonner,VER,24.04
feriez,faire,VER,23.97
appellent,appeler,VER,23.89
avions,avoir,VER,23.85
désirez,désirer,VER,23.85
ramené,ramener,VER,23.84
fallu,falloir,VER,23.82
pue,puer,VER,23.8
fonctionne,fonctionner,VER,23.76
dirige,diriger,VER,23.74
monté,monter,VER,23.72
devraient,devoir,VER,23.7
parlera,parler,VER,23.7
posez,poser,VER,23.7
née,naître,VER,23.63
couvre,couvrir,VER,23.58
propose,proposer,VER,23.57
retournez,retourner,VER,23.55
dure,durer,VER,23.54
représente,représenter,VER,23.52
danse,danser,VER,23.48
revenue,revenir,VER,23.46
craint,craindre,VER,23.43
imaginez,imaginer,VER,23.35
vends,vendre,VER,23.35
venais,venir,VER,23.32
coincé,coincer,VER,23.27
prouve,prouver,VER,23.25
ravie,ravir,VER,23.25
sentais,sentir,VER,23.21
inventé,inventer,VER,23.2
chargé,charger,VER,23.18
brûler,brûler,VER,23.14
feront,faire,VER,23.12
aurons,avoir,VER,23.03
ose,oser,VER,22.97
remplacer,remplacer,VER,22.95
reculez,reculer,VER,22.91
calmer,calmer,VER,22.89
permet,permettre,VER,22.88
parte,partir,VER,22.87
croyait,croire,VER,22.86
roule,rouler,VER,22.86
emmené,emmener,VER,22.85
soigner,soigner,VER,22.82
installer,installer,VER,22.76
vend,vendre,VER,22.75
traverser,traverser,VER,22.74
travaillez,travailler,VER,22.73
rencontre,rencontrer,VER,22.66
saute,sauter,VER,22.66
avancer,avancer,VER,22.65
inviter,inviter,VER,22.63
abandonné,abandonner,VER,22.56
diras,dire,VER,22.52
profiter,profiter,VER,22.5
parlerai,parler,VER,22.47
devra,devoir,VER,22.45
mener,mener,VER,22.45
irait,aller,VER,22.44
survivre,survivre,VER,22.44
perdue,perdre,VER,22.38
ouverte,ouvrir,VER,22.29
levez,lever,VER,22.23
répéter,répéter,VER,22.22
arrivait,arriver,VER,22.16
arrange,arranger,VER,22.14
nourrir,nourrir,VER,22.08
soyons,être,VER,22.05
